gazcode,synof,continent,region,coname,major,minor,locality,lat,ns,long,ew,llunit,llres,llorig,latmin,latmax,longmin,longmax,altmin,altmax,alt1,alt2
359,1536,Africa,Western Indian Ocean,Mauritius,Mauritius,,16eme Mille,20.2012,S,57.3338,E,DMS,,,0,0,0,0,0,0,494,0
1113,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Abercrombie,20.145405,S,57.522678,E,DD,,Google Earth,0,0,0,0,0,0,0,0
112,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Albion,20.209064,S,57.409269,E,DD,,Google Earth,0,0,0,0,0,0,0,0
450,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Alexandra Falls,20.433759,S,57.457795,E,DD,,Google Earth,0,0,0,0,0,0,0,0
1001,0,Africa,Western Indian Ocean,Mauritius,Mauritius,Vacoas,Allée Brillant,20.299009,S,57.503663,E,DD,,Google Earth,0,0,0,0,0,0,0,0
352,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Alma,20.1405,S,57.335,E,DMS,,,0,0,0,0,0,0,452,0
314,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Alma Hill,20.136,S,57.3401,E,DMS,5,,20.133376,20.133781,57.3356,57.3400064,0,0,460,464
1449,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Alma S.E.,20.239663,S,57.567768,E,DD,,Google Earth,0,0,0,0,0,0,0,0
1701,190,Africa,Western Indian Ocean,Mauritius,Mauritius,,Amber Island,20.036933,S,57.6995,E,DD,,Google Earth,0,0,0,0,0,0,0,0
2199,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Anahita,20.1719,S,57.472,E,DMS,,,0,0,0,0,0,0,0,0
474,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Anse Courtois,20.201298,S,57.50665,E,DD,,Google Earth,0,0,0,0,0,0,304,0
1623,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Anse Jonchée,20.350187,S,57.743519,E,DD,,Google Earth,0,0,0,0,0,0,0,0
975,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Anse La Raie,19.99002,S,57.631527,E,DD,,Google Earth,0,0,0,0,0,0,0,0
1421,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Antoinette S.E.,20.125874,S,57.642153,E,DD,,Google Earth,0,0,0,0,0,0,0,0
2082,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Arsenal,20.106446,S,57.540202,E,DD,,Google Earth,0,0,0,0,0,0,0,0
1803,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Astroea S.E.,20.395326,S,57.63587,E,DD,,Google Earth,0,0,0,0,0,0,0,0
323,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Aubin,20.0749,S,57.4117,E,DMS,,,0,0,0,0,0,0,87,0
1426,3,Africa,Western Indian Ocean,Mauritius,Mauritius,,Australia,20.155471,S,57.652745,E,DD,,Google Earth,0,0,0,0,0,0,0,0
1448,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Bagatelle,0,,0,,,,,0,0,0,0,0,0,0,0
1222,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Bagatelle S.E.,0,,0,,,,,0,0,0,0,0,0,0,0
816,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Baguth Crown Land,20.414967,S,57.45031,E,DD,,Google Earth,0,0,0,0,0,0,0,0
1072,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Baie de la Petite Rivière Noire,20.392805,S,57.37861,E,DD,,Google Earth,0,0,0,0,0,0,0,0
45,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Baie du Cap,20.486467,S,57.378616,E,DD,,Google Earth,0,0,0,0,0,0,0,0
477,480,Africa,Western Indian Ocean,Mauritius,Mauritius,,Baie du Jacotet,20.500948,S,57.444915,E,DD,,Google Earth,0,0,0,0,0,0,0,0
392,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Baie du Tombeau,20.0823,S,57.3038,E,DMS,,,0,0,0,0,0,0,10,0
987,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Bain Boeuf,19.98755,S,57.606369,E,DD,,Google Earth,0,0,0,0,0,0,0,0
1154,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Bain des Dames,20.159417,S,57.48329,E,DD,,Google Earth,0,0,0,0,0,0,0,0
217,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Balaclava,20.082989,S,57.516476,E,DD,,Google Earth,0,0,0,0,0,0,0,0
1558,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Balaclava S.E.,20.07852,S,57.520319,E,DD,,Google Earth,0,0,0,0,0,0,0,0
1301,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Balfour Garden,20.229757,S,57.477487,E,DD,,Google Earth,0,0,0,0,0,0,0,0
1619,255,Africa,Western Indian Ocean,Mauritius,Mauritius,,Bambou,20.261292,S,57.41489,E,DD,,Google Earth,0,0,0,0,0,0,0,0
812,974,Africa,Western Indian Ocean,Mauritius,Mauritius,,Bambou Mt,20.322535,S,57.74508,E,DD,,Google Earth,0,0,0,0,0,0,0,0
452,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Bambou Mt Range,20.325092,S,57.733825,E,DD,,Google Earth,0,0,0,0,0,0,0,0
255,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Bambous,20.261292,S,57.41489,E,DD,,Google Earth,0,0,0,0,0,0,0,0
2116,0,Africa,Western Indian Ocean,Mauritius,Mauritius,Black River,Bambous District court,20.250704,S,57.419476,E,DD,,Google Earth,0,0,0,0,0,0,0,0
2198,0,Africa,Western Indian Ocean,Mauritius,Mauritius,,Bambous Virieux,0,,0,,,,,0,0,0,0,0,0,0,0
